SA3 (UR),uni,Postgraduate Degree Level,Graduate Diploma and Graduate Certificate Level,Bachelor Degree Level,Advanced Diploma and Diploma Level,Certificate III & IV Level,Secondary Education - Years 10 and above,Certificate I & II Level,Secondary Education - Years 9 and below
Urriarra - Namadgi,0.282238442822384,49,14,53,86,88,104,0,17
Strathfield - Burwood - Ashfield,0.375887047720863,11914,3525,25347,12412,11794,30453,44,13017
No Usual Address (OT),0.408163265306122,0,0,20,4,5,17,0,3
Monash,0.358935350404504,13730,5229,31531,17352,16905,39788,81,16050
Brunswick - Coburg,0.388778686001573,6544,3581,12610,5407,6224,14078,45,9989
Darwin City,0.343422725346571,1445,723,3505,2272,3034,4535,13,992
Carlingford,0.34609203798393,5141,1393,12418,7152,7453,16554,49,4600
Carindale,0.348943531446929,3293,1695,9132,4913,6045,12096,29,3262
Nillumbik - Kinglake,0.327921213734362,4182,3148,12382,8315,11971,16607,40,3467
Whitehorse - East,0.333005164022737,3978,2294,11655,7151,7366,16068,20,5302
Manningham - West,0.336241444125262,6606,3027,18810,10529,10121,25017,56,10425
Nathan,0.349834168372027,2676,1226,6013,3131,4461,8210,23,2602
Banyule,0.33648119789008,8558,5249,21788,12768,16492,29587,73,11271
No Usual Address (ACT),0.335260115606936,46,16,54,42,52,108,0,28
Blacktown - North,0.32570756258579,5294,1266,13372,7670,10229,18145,58,5162
Holdfast Bay,0.304084266122498,2239,1330,6564,4819,5184,10925,9,2253
Hobart - South and West,0.313587796519051,2185,1156,5992,3972,5118,9130,30,2179
Tuggeranong,0.30354822306345,5058,3146,13286,9974,11850,22722,67,4693
Parramatta,0.321578817124474,8249,2147,18193,10697,12347,27542,74,9653
Adelaide Hills,0.298463462569234,4435,2617,12994,9478,12773,20492,42,4333
Dural - Wisemans Ferry,0.297050098879367,1658,657,4895,3441,4986,6667,19,1949
Mt Gravatt,0.320824989238457,4257,1753,11132,6252,7873,17229,40,4895
The Hills District,0.282556870984686,4273,2794,13912,10989,15178,23185,18,3898
Canning,0.301582484283546,5013,2020,13835,8568,11398,22708,52,5601
Surf Coast - Bellarine Peninsula,0.277878335915666,3499,2919,12772,10062,13715,20036,57,5999
Bald Hills - Everton Park,0.291133415777516,2310,1232,6581,4407,5752,11751,25,2713
Stirling,0.28987581959741,8543,5114,29271,18789,22970,48889,115,14400
Queanbeyan,0.282999235538945,3925,1918,7484,6120,9092,14065,44,4444
Maribyrnong,0.311062515585736,3766,2246,10204,5253,6385,15904,61,8312
Southern Highlands,0.269549763033175,2947,1446,8347,6645,9447,14107,56,4269
Joondalup,0.263036546838177,6644,4337,25070,20095,28974,45503,42,6392
Chermside,0.285595246721252,3224,1899,10643,6653,9127,18211,38,5409
Rouse Hill - McGraths Hill,0.264600339130092,1512,564,4634,3538,5501,7610,23,1977
Armidale,0.287798452165322,2860,1057,4822,3494,5415,8701,44,3972
Darwin Suburbs,0.282042127811496,2645,1445,6180,4374,7156,11031,35,3547
Cronulla - Miranda - Caringbah,0.257397186371747,5525,2506,16779,13939,20086,29681,63,7809
Kingston,0.26976431107816,5559,3747,18347,13529,18165,32981,73,10107
Sutherland - Menai - Heathcote,0.253341662807104,5344,2576,15601,13742,20800,27776,78,6926
Hurstville,0.279189516486329,6907,2101,19349,12388,13946,34101,88,12689
Migratory - Offshore - Shipping (Vic.),0.266666666666667,0,0,8,4,15,3,0,0
Sunnybank,0.28602480871783,2497,829,6543,3865,5077,12009,36,3648
Heathcote - Castlemaine - Kyneton,0.271355163294704,2596,2258,7767,5863,9291,13230,45,5461
Wollongong,0.270324990732203,8053,3237,17149,13187,22008,27973,150,13446
Macedon Ranges,0.252216859355708,1260,1134,4347,3802,5797,8112,21,2254
Cairns - North,0.243583579458296,2264,1328,7047,6530,10439,13691,25,2353
Buderim,0.245319968834888,2265,1479,7906,6848,10134,15533,49,3275
Noosa,0.239172731858471,1866,1174,6917,6235,8709,14256,31,2443
Richmond Valley - Coastal,0.255497409874194,3520,2235,13579,9922,15957,22493,112,7854
Jervis Bay,0.253456221198157,15,0,40,28,38,53,0,43
Maroondah,0.247835310416486,4454,3508,14936,12403,17993,30194,84,8820
Hobsons Bay,0.270164806106259,4480,2680,11741,7385,11294,21510,73,10798
Surfers Paradise,0.241543260349475,1607,739,5630,4356,5768,12807,11,2103
Gold Coast Hinterland,0.233665437331425,925,505,2815,2537,4305,5923,14,1143
Kogarah - Rockdale,0.244425945056819,6083,1859,16428,12044,14640,34223,84,14342
Lord Howe Island,0.232258064516129,11,3,58,41,72,114,0,11
Nundah,0.244613346349627,1526,922,4568,3421,5243,10149,18,2835
Mudgeeraba - Tallebudgera,0.220684529076558,1335,773,4127,3979,6826,9361,19,1833
Newcastle,0.246024593294127,7846,3634,20732,15111,27419,37755,167,18266
Wynnum - Manly,0.238959561485159,2903,1617,9343,7047,11763,19608,35,5698
Belmont - Victoria Park,0.241557102345965,2564,1317,7363,5397,8431,16630,46,4800
Alice Springs,0.246318234610918,1253,811,3238,2385,4209,5924,67,3638
Campbelltown (SA),0.243010892396977,2456,1278,7488,5239,7519,15536,13,6650
Rocklea - Acacia Ridge,0.239615205737645,2348,802,6639,4687,7232,15182,45,3918
Botany,0.240034238200049,2144,560,5148,3730,5268,11373,14,4475
Bayswater - Bassendean,0.236712629269821,2887,1884,10336,7419,11849,22676,47,6722
Huon - Bruny Island,0.225701104141828,976,545,2833,2375,3731,6453,20,2358
Migratory - Offshore - Shipping (WA),0.141592920353982,10,3,35,70,119,99,0,3
Mornington Peninsula,0.212495338292736,5665,4755,22058,20661,32539,50768,167,16228
Mundaring,0.214397369555843,1368,1190,5397,4912,8444,12990,13,2790
Creswick - Daylesford - Ballan,0.223938766195007,1386,1058,3934,3484,5989,8812,31,3787
Robina,0.206406508198805,1893,786,5440,5481,7956,14941,26,2812
Auburn,0.243803932385043,3118,796,8461,5164,5299,19282,65,8573
Knox,0.219944585858131,5827,3615,19850,16484,26983,46494,101,13825
Noosa Hinterland,0.208032550203439,833,640,3282,3101,5597,7720,12,1672
Gosford,0.209100925943825,6626,3649,22176,20480,35094,49611,212,17345
Sunshine Coast Hinterland,0.20390103310398,1882,1398,6766,6741,11397,16548,34,4503
West Torrens,0.225930087891801,2187,1392,7680,5635,8356,18173,24,6387
Hobart - North East,0.215567868185685,1961,1437,6990,5880,9564,17107,30,5220
Marion,0.207845319597769,3219,1982,10859,9751,15116,28177,55,8110
Hawkesbury,0.195385048306913,853,546,2767,2911,5782,6217,24,2222
Broadbeach - Burleigh,0.205615872773148,1992,1108,7657,6502,10940,19719,31,4367
Wyndham,0.212853466556989,6824,2863,18518,15438,25072,46460,183,17151
Keilor,0.218869351484213,2019,1514,8043,5825,8871,17140,47,9431
Sandgate,0.210829734602323,1885,1262,6910,5630,9362,16983,54,5616
Ballarat,0.215291204904504,3611,3270,11380,9562,16479,27553,116,12849
Yarra Ranges,0.198688408365828,4529,4140,17114,16745,30739,43075,143,13281
Maroochy,0.199447418407874,1862,1358,7175,6617,11907,18839,40,4321
Kalamunda,0.198362746307952,1740,1222,6682,6213,10762,18208,25,3766
Darebin - North,0.228262630129725,3594,2206,9702,6408,9685,21039,84,15195
Blacktown,0.217806304674155,4692,1450,14897,10009,17130,33795,141,14481
Cleveland - Stradbroke,0.187951898926859,2981,1860,9976,10358,18458,28003,77,7121
Bathurst,0.201896945320143,1510,1045,4874,4307,8587,11519,70,4884
Young - Yass,0.208787813243519,1436,885,4436,3535,6630,10815,40,4586
Coffs Harbour,0.192612004865143,2495,1948,10918,9862,18679,25182,171,10496
Palmerston,0.177277840269966,600,481,2071,2468,4667,6013,45,1435
Southport,0.194555627286421,1970,860,6211,5635,9500,17953,35,4306
Augusta - Margaret River - Busselton,0.192090902966473,1063,1022,6469,5490,10326,16785,29,3347
Orange,0.195495669739755,1788,1132,6177,5482,9926,14754,86,7188
Capalaba,0.189429710133329,2255,1454,8126,7685,14462,22758,63,5674
Barwon - West,0.184824667472793,526,450,2081,2098,4179,5238,26,1942
No Usual Address (Tas.),0.184563758389262,34,14,62,75,116,200,0,95
Geelong,0.190821833694212,5480,4324,19719,18309,31949,50099,175,24660
Port Adelaide - East,0.199934393964245,2052,1138,6562,5277,8836,17444,54,7413
Lake Macquarie - East,0.190941142084688,3999,2443,14463,12809,26797,32620,202,16151
Snowy Mountains,0.191111366641752,617,358,2349,2026,4430,5439,28,2146
Camden,0.179797491708581,1592,970,5624,5807,11088,15418,62,4968
Toowoomba,0.199433262491145,5170,3019,15740,12923,23685,42218,133,17097
Cockburn,0.191418742777285,2753,1733,9759,8590,16812,26809,49,7913
Wodonga - Alpine,0.177065005084828,1760,2010,7199,7869,14219,20471,99,8322
Liverpool,0.187812162419775,3308,938,10532,9102,14337,28239,130,12099
Casey - North,0.182456485396794,3788,2123,12643,12225,20900,36654,120,13237
South Coast,0.188250663183012,2373,2140,9609,8523,17814,24648,129,9781
