Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SA3 (UR) by HEAP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"HEAP - 1 Digit Level","Postgraduate Degree Level","Graduate Diploma and Graduate Certificate Level","Bachelor Degree Level","Advanced Diploma and Diploma Level","Certificate III & IV Level","Secondary Education - Years 10 and above","Certificate I & II Level","Secondary Education - Years 9 and below","Supplementary Codes","Not stated","Not applicable","Total",
"Brisbane Inner",6676,1933,17146,4942,4825,15329,15,1606,1590,8089,5430,67585,
"Brisbane Inner - East",2721,1218,8797,3327,3984,8640,12,1037,768,2769,7319,40591,
"Brisbane Inner - North",6482,2626,20192,6742,7245,19449,27,2161,1646,7057,12544,86165,
"Brisbane Inner - West",5440,1915,14421,3667,3779,11617,11,1128,869,3591,9432,55868,
"Cairns - North",1548,947,6009,4607,8443,12758,24,1806,1267,4383,10867,52660,
"Cairns - South",1733,1129,8620,6759,15508,26481,98,5542,2718,11556,20640,100794,
"Innisfail - Cassowary Coast",270,264,1819,1678,5574,10266,27,3117,808,4178,6728,34730,
"Port Douglas - Daintree",188,135,979,838,1967,2970,3,548,296,1768,1904,11607,
"Tablelands (East) - Kuranda",593,404,2873,2485,6288,10850,25,3450,973,4957,7509,40403,
"Darling Downs (West) - Maranoa",312,293,2850,2463,5924,12214,34,3961,857,5649,9503,44061,
"Darling Downs - East",304,301,2355,2222,6310,12098,23,4251,895,4517,8849,42124,
"Granite Belt",443,378,2516,2278,5991,12088,27,3993,948,3910,7531,40101,
"Central Highlands (Qld)",238,224,1753,1264,4635,7938,13,1558,490,3607,7245,28962,
"Rockhampton",1631,1301,8154,5820,18665,33420,89,9237,2288,11954,23431,115997,
"Biloela",113,113,845,595,2131,4231,14,1396,314,1398,3166,14315,
"Gladstone",681,554,4099,3149,12080,16973,53,3670,1186,5250,13941,61642,
"Broadbeach - Burleigh",1833,912,7986,5419,9283,16527,32,2709,1743,6058,9124,61638,
"Coolangatta",1144,708,5497,4400,8996,14517,35,2779,1417,4899,8798,53183,
"Gold Coast - North",1781,689,6265,5391,10106,19299,38,3818,2039,7005,9466,65897,
"Gold Coast Hinterland",532,302,1897,1628,3019,4558,11,743,506,1987,3329,18508,
"Mudgeeraba - Tallebudgera",934,518,3458,2876,5275,8418,14,1320,835,2106,7633,33385,
"Nerang",1289,766,5718,5423,11166,18897,39,3275,1736,5219,13756,67288,
"Ormeau - Oxenford",2249,1200,9467,9743,19689,32298,62,4961,3011,8948,29265,120882,
"Robina",1694,622,5677,4446,6629,14120,18,1983,1363,4226,8694,49481,
"Southport",2041,679,6855,5039,7892,17375,24,2813,1589,5903,8686,58896,
"Surfers Paradise",1533,541,5780,3692,4705,11381,17,1436,1240,5801,4710,40836,
"Forest Lake - Oxley",2102,784,6805,4503,7544,19159,59,4510,2486,9012,15256,72231,
"Ipswich Hinterland",542,512,3087,3707,10136,17713,59,6184,1378,7081,12325,62725,
"Ipswich Inner",1559,1143,7146,6892,17208,29062,91,7698,2333,8241,22831,104206,
"Springfield - Redbank",1537,758,6180,5723,12263,23450,73,3760,2095,5710,22369,83911,
"Beaudesert",117,105,643,773,2079,4078,15,1379,336,1630,2763,13917,
"Beenleigh",375,300,2111,2593,6685,12526,46,2983,1082,3419,8810,40928,
"Browns Plains",785,487,4096,4531,12622,24781,59,5007,2208,6097,19142,79811,
"Jimboomba",433,387,2511,3018,8681,13110,29,2356,1114,3065,10889,45590,
"Loganlea - Carbrook",975,641,4548,4171,9918,17259,41,3429,1666,4669,12456,59777,
"Springwood - Kingston",1710,773,6387,5077,10403,21755,100,5305,2553,5991,17231,77278,
"Bowen Basin - North",249,224,1886,1311,5633,8978,22,2162,607,4824,7598,33493,
"Mackay",1143,1048,7503,5768,21691,32244,85,8152,2203,11378,23766,114970,
"Whitsunday",217,171,1444,1604,3960,5415,17,954,479,3135,3818,21224,
"Bribie - Beachmere",416,348,1930,2392,5847,10140,31,3135,932,3451,4419,33036,
"Caboolture",498,471,3186,4135,11625,19825,73,4892,1648,5963,15151,67459,
"Caboolture Hinterland",109,114,655,758,2022,3534,11,1048,268,2409,2306,13233,
"Narangba - Burpengary",577,590,3651,4372,11257,18395,46,4109,1366,4630,13879,62886,
"Redcliffe",1022,739,4675,4597,9685,17127,43,4434,1599,5727,9820,59470,
"The Hills District",2862,1890,11609,7812,12441,21852,24,2910,1841,3858,19093,86190,
"North Lakes",1335,814,6202,5717,11490,19373,35,3043,1592,4160,17803,71560,
"Strathpine",527,482,2659,2756,6452,11178,28,2068,883,2471,7707,37215,
"Far North",251,227,1352,1315,4397,8147,84,2549,635,5169,8253,32392,
"Outback - North",360,254,1872,1172,4585,8078,33,2115,535,3646,7000,29653,
"Outback - South",162,171,1140,896,2356,5366,20,1882,371,1883,3405,17655,
"Buderim",1509,946,6335,4752,8295,14433,32,2293,1380,3809,10701,54486,
"Caloundra",1531,1099,7545,6388,13745,22474,39,5023,2170,6072,14431,80508,
"Maroochy",1400,915,6292,4737,9564,15553,31,2725,1514,5330,8252,56313,
"Noosa",1136,705,4735,3927,6172,10765,22,1649,1239,3634,7170,41154,
"Sunshine Coast Hinterland",1080,842,4589,4267,8408,13277,27,2814,1321,4022,8935,49585,
"Nambour",725,604,3609,3279,7638,11339,32,2576,1050,3444,8332,42628,
"Noosa Hinterland",477,358,2128,1896,3765,5809,15,1075,574,1750,4010,21851,
"Toowoomba",3840,2071,14430,9591,22204,40186,119,10803,3322,12660,30277,149513,
"Charters Towers - Ayr - Ingham",252,280,2091,1661,6595,13120,44,4834,817,4458,8064,42224,
"Townsville",4050,2281,17099,11679,30540,53035,123,10090,3561,16634,37720,186809,
"Bundaberg",906,811,5496,4651,14372,26203,118,8817,2040,8779,15586,87770,
"Burnett",340,348,2427,2491,7084,14207,46,5756,1164,5942,9264,49066,
"Gympie - Cooloola",411,424,2591,3008,8344,14390,56,4710,1184,5318,9044,49485,
"Hervey Bay",690,637,3678,3667,9667,16167,57,5122,1524,5878,9580,56677,
"Maryborough",305,354,1999,2391,7745,13051,47,4741,1101,5677,7472,44890,
"Migratory - Offshore - Shipping (Qld)",0,0,3,15,23,59,0,23,3,28,9,152,
"No Usual Address (Qld)",266,118,1148,781,1901,3335,18,900,374,2854,824,12515,
"Adelaide City",2188,494,5082,1689,1249,6396,3,413,512,2827,1213,22064,
"Adelaide Hills",2761,1614,9538,6007,10095,18086,33,3329,1837,4651,13941,71895,
"Burnside",4003,1363,9987,3465,2530,9988,5,1659,1076,2326,7495,43912,
"Campbelltown (SA)",2366,938,7478,3762,5679,13716,16,3934,1585,2791,8254,50524,
"Norwood - Payneham - St Peters",2730,1046,7327,2668,2889,8319,10,2097,988,2234,5050,35357,
"Prospect - Walkerville",1881,777,5511,2184,2529,6713,12,1434,777,1660,4599,28078,
"Unley",3209,1287,8397,2852,2624,8404,11,1623,949,2362,5990,37717,
"Gawler - Two Wells",414,337,2066,2425,5881,10711,39,2668,833,2656,6587,34632,
"Playford",568,424,3388,4367,13558,29177,145,7428,2659,7792,20658,90152,
"Port Adelaide - East",3103,978,9094,4649,7652,17417,67,4904,2592,5496,12111,68050,
"Salisbury",2536,975,9215,7707,20052,43293,170,11115,5357,9215,26987,136632,
"Tea Tree Gully",2236,1434,9581,7703,15332,28012,48,5345,2409,5083,16419,93607,
"Holdfast Bay",1648,836,5518,3069,3922,8819,12,1520,1069,2807,4479,33698,
"Marion",3249,1527,11919,7233,12469,25372,45,5337,2523,5789,14604,90066,
"Mitcham",4166,1958,12277,5219,6077,15063,22,2736,1548,3302,11165,63531,
"Onkaparinga",2797,2129,13560,12483,29557,50412,117,9474,4406,11649,31449,168044,
"Charles Sturt",3453,1652,13321,7835,14191,30838,66,9008,3601,7760,16949,108695,
"Port Adelaide - West",1332,741,5335,3768,8031,17710,61,5306,1965,4612,9102,57964,
"West Torrens",2899,1118,9372,4680,7174,17033,29,3925,1762,4219,8880,61086,
"Barossa",439,413,2601,2414,5894,10341,24,2851,938,2821,6757,35492,
"Lower North",200,225,1462,1344,3339,7006,24,2231,513,2178,4022,22548,
"Mid North",164,231,1385,1348,4223,8812,30,3247,574,2572,4686,27269,
"Yorke Peninsula",132,191,1211,1340,4063,8227,28,2927,597,2766,3723,25204,
"Eyre Peninsula and South West",436,453,3270,2772,9205,17355,52,4772,1235,6047,11004,56611,
"Outback - North and East",259,223,1413,1114,4084,7153,21,2134,605,4119,5077,26202,
"Fleurieu - Kangaroo Island",765,671,3855,3901,8320,15148,46,3736,1483,5028,7448,50396,
"Limestone Coast",519,569,3649,3310,10236,19951,81,6217,1775,6201,12289,64789,
"Murray and Mallee",476,515,3342,3650,10373,21943,67,7932,1826,7607,11827,69553,
"Migratory - Offshore - Shipping (SA)",0,0,0,0,0,3,0,0,0,0,0,8,
"No Usual Address (SA)",59,23,214,145,406,781,0,238,99,680,217,2862,
"Augusta - Margaret River - Busselton",722,716,5004,3697,8330,13410,22,2338,1339,4742,10561,50875,
"Bunbury",1132,1081,7165,6169,17822,29559,42,6303,2556,9750,21070,102642,
"Manjimup",245,259,1585,1426,3496,6900,7,1543,641,2583,4127,22813,
"Mandurah",1066,914,5997,6526,16864,29737,70,6301,2620,9073,17558,96738,
"Cottesloe - Claremont",6791,2031,17742,4668,2736,13779,9,1690,1260,4583,12338,67637,
"Perth City",8703,3141,25254,8020,7470,19195,25,2863,2377,10975,13646,101670,
"Bayswater - Bassendean",3096,1596,12032,6369,10264,20830,41,4287,2378,6512,13047,80443,
"Mundaring",878,748,3965,3186,6587,11202,8,2010,1054,5006,7394,42035,
"Swan",2197,1293,10631,9036,19593,37598,76,6183,3563,10352,28026,128540,
"Joondalup",4780,3087,21579,13734,22635,41503,48,5187,4144,8476,29557,154728,
"Stirling",8335,4106,32339,15684,21146,46872,93,9625,6117,15295,32823,192430,
"Wanneroo",3178,1920,16204,13837,29139,53275,104,8070,5685,13369,43175,187959,
"Armadale",1855,836,7193,5639,12315,22476,51,3500,2118,5884,17729,79596,
"Belmont - Victoria Park",3352,1263,11125,5498,8268,17607,42,3144,1988,7678,10753,70715,
"Canning",5051,1642,15641,7360,9437,24912,47,4078,2551,6750,16127,93598,
"Gosnells",3379,1092,11701,7852,15788,34353,86,6541,3674,8945,24657,118073,
"Kalamunda",1285,859,5705,4381,9039,16595,18,2754,1541,4097,11180,57451,
